expense_id,expense_date,category,department,description,amount
EXP-00067,2024-04-23,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3465.18
EXP-00068,2024-04-23,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2171.55
EXP-00069,2024-04-23,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1811.11
EXP-00070,2024-04-24,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3469.45
EXP-00071,2024-04-24,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2228.67
EXP-00072,2024-04-24,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1842.77
EXP-00073,2024-04-25,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3419.94
EXP-00074,2024-04-25,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2255.49
EXP-00075,2024-04-25,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1854.97
EXP-00076,2024-04-26,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3528.87
EXP-00077,2024-04-26,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2177.68
EXP-00078,2024-04-26,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1886.4
EXP-00079,2024-04-27,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3414.3
EXP-00080,2024-04-27,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2144.46
EXP-00081,2024-04-27,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1878.84
EXP-00082,2024-04-28,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3578.55
EXP-00083,2024-04-28,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2181.14
EXP-00084,2024-04-28,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1909.36
EXP-00085,2024-04-29,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3452.46
EXP-00086,2024-04-29,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2246.79
EXP-00087,2024-04-29,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1812.93
EXP-00088,2024-04-30,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3438.49
EXP-00089,2024-04-30,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2176.07
EXP-00090,2024-04-30,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1809.3
EXP-00091,2024-05-01,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3548.59
EXP-00092,2024-05-01,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2132.9
EXP-00093,2024-05-01,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1907.37
EXP-00094,2024-05-02,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3512.85
EXP-00095,2024-05-02,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2213.02
EXP-00096,2024-05-02,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1827.45
EXP-00097,2024-05-03,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3541.53
EXP-00098,2024-05-03,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2213.26
EXP-00099,2024-05-03,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1870.85
EXP-00100,2024-05-04,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3487.74
EXP-00101,2024-05-04,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2205.92
EXP-00102,2024-05-04,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1896.23
EXP-00103,2024-05-05,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3413.4
EXP-00104,2024-05-05,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2113.95
EXP-00105,2024-05-05,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1913.26
EXP-00106,2024-05-06,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3553.29
EXP-00107,2024-05-06,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2233.84
EXP-00108,2024-05-06,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1913.56
EXP-00109,2024-05-07,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3404.84
EXP-00110,2024-05-07,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2179.86
EXP-00111,2024-05-07,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1832.74
EXP-00112,2024-05-08,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3490.59
EXP-00113,2024-05-08,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2210.29
EXP-00114,2024-05-08,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1940.29
EXP-00115,2024-05-09,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3558.8
EXP-00116,2024-05-09,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2233.73
EXP-00117,2024-05-09,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1893.14
EXP-00118,2024-05-10,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3566.7
EXP-00119,2024-05-10,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2110.56
EXP-00120,2024-05-10,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1865.39
EXP-00121,2024-05-11,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3408.2
EXP-00122,2024-05-11,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2142.69
EXP-00123,2024-05-11,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1902.81
EXP-00124,2024-05-12,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3425.66
EXP-00125,2024-05-12,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2241.23
EXP-00126,2024-05-12,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1843.7
EXP-00127,2024-05-13,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3509.12
EXP-00128,2024-05-13,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2134.58
EXP-00129,2024-05-13,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1805.57
EXP-00130,2024-05-14,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3416.14
EXP-00131,2024-05-14,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2277.25
EXP-00132,2024-05-14,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1813.76
EXP-00133,2024-05-15,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3509.43
EXP-00134,2024-05-15,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2180.82
EXP-00135,2024-05-15,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1875.88
EXP-00136,2024-05-16,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3497.46
EXP-00137,2024-05-16,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2229.68
EXP-00138,2024-05-16,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1916.25
EXP-00139,2024-05-17,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3506.17
EXP-00140,2024-05-17,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2276.86
EXP-00141,2024-05-17,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1873.77
EXP-00142,2024-05-18,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3499.46
EXP-00143,2024-05-18,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2204.43
EXP-00144,2024-05-18,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1915.68
EXP-00145,2024-05-19,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3552.75
EXP-00146,2024-05-19,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2108.75
EXP-00147,2024-05-19,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1858.79
EXP-00148,2024-05-20,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3596.66
EXP-00149,2024-05-20,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2212.3
EXP-00150,2024-05-20,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1894.49
EXP-00151,2024-05-21,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3462.74
EXP-00152,2024-05-21,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2122.57
EXP-00153,2024-05-21,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1908.34
EXP-00154,2024-05-22,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3468.99
EXP-00155,2024-05-22,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2242.7
EXP-00156,2024-05-22,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1902.48
EXP-00157,2024-05-23,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3508.87
EXP-00158,2024-05-23,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2137.97
EXP-00159,2024-05-23,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1866.61
EXP-00160,2024-05-24,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3406.9
EXP-00161,2024-05-24,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2113.52
EXP-00162,2024-05-24,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1815.73
EXP-00163,2024-05-25,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3404.47
EXP-00164,2024-05-25,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2195.42
EXP-00165,2024-05-25,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1934.49
EXP-00166,2024-05-26,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3544.59
EXP-00167,2024-05-26,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2193.17
EXP-00168,2024-05-26,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1918.87
EXP-00169,2024-05-27,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3466.92
EXP-00170,2024-05-27,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2179.35
EXP-00171,2024-05-27,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1920.05
EXP-00172,2024-05-28,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3440.23
EXP-00173,2024-05-28,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2133.65
EXP-00174,2024-05-28,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1924.34
EXP-00175,2024-05-29,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3404.71
EXP-00176,2024-05-29,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2260.64
EXP-00177,2024-05-29,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1928.37
EXP-00178,2024-05-30,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3438.0
EXP-00179,2024-05-30,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2154.51
EXP-00180,2024-05-30,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1894.82
EXP-00181,2024-05-31,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3410.91
EXP-00182,2024-05-31,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2154.46
EXP-00183,2024-05-31,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1904.07
EXP-00184,2024-06-01,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3533.69
EXP-00185,2024-06-01,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2132.54
EXP-00186,2024-06-01,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1870.89
EXP-00187,2024-06-02,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3417.39
EXP-00188,2024-06-02,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2278.76
EXP-00189,2024-06-02,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1927.35
EXP-00190,2024-06-03,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3579.11
EXP-00191,2024-06-03,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2108.21
EXP-00192,2024-06-03,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1846.51
EXP-00193,2024-06-04,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3487.05
EXP-00194,2024-06-04,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2105.92
EXP-00195,2024-06-04,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1826.2
EXP-00196,2024-06-05,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3466.5
EXP-00197,2024-06-05,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2150.28
EXP-00198,2024-06-05,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1946.5
EXP-00199,2024-06-06,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3435.12
EXP-00200,2024-06-06,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2259.53
EXP-00201,2024-06-06,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1806.72
EXP-00202,2024-06-07,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3554.46
EXP-00203,2024-06-07,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2125.51
EXP-00204,2024-06-07,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1806.34
EXP-00205,2024-06-08,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3438.11
EXP-00206,2024-06-08,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2144.96
EXP-00207,2024-06-08,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1812.38
EXP-00208,2024-06-09,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3595.79
EXP-00209,2024-06-09,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2114.3
EXP-00210,2024-06-09,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1931.91
EXP-00211,2024-06-10,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3429.71
EXP-00212,2024-06-10,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2273.0
EXP-00213,2024-06-10,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1877.54
EXP-00214,2024-06-11,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3476.61
EXP-00215,2024-06-11,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2168.87
EXP-00216,2024-06-11,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1830.53
EXP-00217,2024-06-12,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3563.37
EXP-00218,2024-06-12,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2254.4
EXP-00219,2024-06-12,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1897.05
EXP-00220,2024-06-13,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3532.98
EXP-00221,2024-06-13,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2205.59
EXP-00222,2024-06-13,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1914.58
EXP-00223,2024-06-14,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3444.26
EXP-00224,2024-06-14,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2260.89
EXP-00225,2024-06-14,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1870.79
EXP-00226,2024-06-15,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3570.81
EXP-00227,2024-06-15,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2239.81
EXP-00228,2024-06-15,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1908.31
EXP-00229,2024-06-16,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3572.72
EXP-00230,2024-06-16,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2207.85
EXP-00231,2024-06-16,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1945.92
EXP-00232,2024-06-17,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3482.37
EXP-00233,2024-06-17,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2224.03
EXP-00234,2024-06-17,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1888.97
EXP-00235,2024-06-18,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3553.54
EXP-00236,2024-06-18,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2153.83
EXP-00237,2024-06-18,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1918.21
EXP-00238,2024-06-19,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3447.98
EXP-00239,2024-06-19,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2168.09
EXP-00240,2024-06-19,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1835.07
EXP-00241,2024-06-20,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3514.07
EXP-00242,2024-06-20,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2100.75
EXP-00243,2024-06-20,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1876.57
EXP-00244,2024-06-21,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3570.94
EXP-00245,2024-06-21,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2282.29
EXP-00246,2024-06-21,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1826.45
EXP-00247,2024-06-22,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3477.19
EXP-00248,2024-06-22,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2160.19
EXP-00249,2024-06-22,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1842.05
EXP-00250,2024-06-23,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3525.52
EXP-00251,2024-06-23,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2127.1
EXP-00252,2024-06-23,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1936.22
EXP-00253,2024-06-24,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3570.02
EXP-00254,2024-06-24,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2201.91
EXP-00255,2024-06-24,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1867.14
EXP-00256,2024-06-25,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3528.26
EXP-00257,2024-06-25,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2128.07
EXP-00258,2024-06-25,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1878.46
